event_id,category,price,remaining,sold_out,created_at,last_seen,is_active
117568,B Blok-Protokol,3750.0,0,True,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117568,C Blok-Protokol,3750.0,43,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117568,F Blok-1.Kategori,2750.0,167,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117568,L Blok-3.Kategori,1500.0,173,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117568,K Blok-2.Kategori,1750.0,102,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117568,L Blok-2.Kategori,1750.0,108,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117568,M Blok-4.Kategori,1250.0,9,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117568,J Blok-4.Kategori,1250.0,61,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117568,J Blok-5.Kategori,1150.0,5,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117568,N Blok-6.Kategori,1000.0,0,True,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117568,I Blok-6.Kategori,1000.0,0,True,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117569,Sahne Önü Ayakta ,1250.0,2523,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117569,Saha İçi Ayakta,750.0,7070,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,Protokol,4000.0,62,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,B Blok-1.Kategori,2750.0,116,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,A Blok-1.Kategori,2750.0,155,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,D Blok-2.Kategori,2250.0,108,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,E Blok-2.Kategori,2250.0,172,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,A1 Blok-3.Kategori,1750.0,67,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,B1 Blok-3.Kategori,1750.0,71,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,D Blok-3.Kategori,1750.0,97,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,E Blok-3.Kategori,1750.0,176,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,A1 Blok-4.Kategori,1500.0,61,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,C Blok-5.Kategori,1250.0,56,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,F Blok-5.Kategori,1250.0,205,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,F Blok-6.Kategori,1000.0,198,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
138351,C Blok-6.Kategori,1000.0,35,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117570,Sahne Önü Ayakta ,1250.0,2489,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117570,Saha İçi Ayakta,750.0,6992,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,Protokol Sağ,3750.0,25,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,Protokol Sol,3750.0,39,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,Sahne Önü Sağ-1.Kategori,2750.0,264,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,Sahne Önü Sol-1.Kategori,2750.0,116,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,Saha İçi Sağ Ön-2.Kategori,1750.0,151,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,Saha İçi Sol Ön-2.Kategori,1750.0,71,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,Saha İçi Sol Arka-3.Kategori,1250.0,431,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,Saha İçi Sağ Arka-3.Kategori,1250.0,299,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,A Blok-4.Kategori,750.0,320,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,B Blok-4.Kategori,750.0,519,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,F Blok-4.Kategori,750.0,516,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,G Blok-4.Kategori,750.0,494,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
117573,H Blok-4.Kategori,750.0,365,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
139044,VIP,4250.0,170,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
139044,Parter 2-1.Kategori,2750.0,229,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
139044,Parter 1-2.Kategori,2250.0,80,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
139044,Parter 3-2.Kategori,2250.0,96,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
139044,Parter 5-2.Kategori,2250.0,150,False,2025-06-02T21:16:52.505027,2025-06-02T21:16:52.505027,True
