key,price,remaining
141360|||A Çift-2.Kategori,2500.0,179
141360|||B Tek-2.Kategori,2500.0,122
141360|||B Çift-2.Kategori,2500.0,107
141360|||A Tek-3.Kategori,2000.0,117
141360|||A Çift-3.Kategori,2000.0,127
141360|||D Çift-3.Kategori,2000.0,135
141360|||D Tek-3.Kategori,2000.0,147
141360|||D Çift-4.Kategori,1500.0,102
141360|||D Tek-4.Kategori,1500.0,150
141360|||C Çift-5.Kategori,1250.0,384
141360|||C Tek-5.Kategori,1250.0,400
141619|||E Çift-Numarasız,1000.0,550
141619|||E Tek-Numarasız,1000.0,547
118677|||1.Avantajlı Dönem-Kombine,680.0,0
118677|||2.Avantajlı Dönem-Kombine,1250.0,0
118677|||3.Avantajlı Dönem-Kombine,1550.0,929
132601|||Günlük Bilet,1050.0,91
132602|||Günlük Bilet,1050.0,86
132603|||Günlük Bilet,1050.0,96
124885|||Genel Giriş,57500.0,60
127015|||VIP - B Blok,1950.0,0
127015|||VIP - A Blok,1950.0,18
127015|||VIP - C Blok,1950.0,0
127015|||1. Kategori - B Blok,1250.0,126
127015|||1. Kategori - C Blok,1250.0,103
127015|||1. Kategori - A Blok,1250.0,86
127015|||2. Kategori - C Blok,1100.0,129
127015|||2. Kategori - A Blok,1100.0,120
127015|||2. Kategori - F Blok,1100.0,35
127015|||2. Kategori - G Blok,1100.0,76
127015|||2. Kategori - E Blok,1100.0,74
127015|||3. Kategori - F Blok,950.0,38
127015|||3. Kategori - E Blok,950.0,108
127015|||3. Kategori - G Blok,950.0,131
127015|||4. Kategori - G Blok,800.0,40
127015|||4. Kategori - E Blok,800.0,19
127015|||4. Kategori - D Blok,800.0,146
127015|||4. Kategori - H Blok,800.0,162
127015|||5. Kategori - H Blok,650.0,136
127015|||5. Kategori - D Blok,650.0,151
127015|||6. Kategori - H Blok,550.0,0
127015|||6. Kategori - D Blok,550.0,0
126679|||A Blok-VIP,1950.0,14
126679|||B Blok-VIP,1950.0,0
126679|||C Blok-VIP,1950.0,6
126679|||A Blok-1.Kategori,1250.0,17
126679|||C Blok-1.Kategori,1250.0,12
126679|||E Blok-1.Kategori,1250.0,58
126679|||F Blok-1.Kategori,1250.0,204
126679|||G Blok-1.Kategori,1250.0,63
126679|||E Blok-2.Kategori,1100.0,107
126679|||G Blok-2.Kategori,1100.0,120
126679|||K Blok-2.Kategori,1100.0,159
126679|||L Blok-2.Kategori,1100.0,160
126679|||D Blok-3.Kategori,950.0,135
126679|||H Blok-3.Kategori,950.0,118
126679|||J Blok-3.Kategori,950.0,179
126679|||K Blok-3.Kategori,950.0,140
126679|||L Blok-3.Kategori,950.0,141
126679|||M Blok-3.Kategori,950.0,169
126679|||D Blok-4.Kategori,800.0,41
126679|||H Blok-4.Kategori,800.0,44
126679|||J Blok-4.Kategori,800.0,118
126679|||K Blok-4.Kategori,800.0,78
126679|||L Blok-4.Kategori,800.0,81
126679|||M Blok-4.Kategori,800.0,118
126679|||I Blok-5.Kategori,650.0,92
126679|||J Blok-5.Kategori,650.0,28
126679|||M Blok-5.Kategori,650.0,21
126679|||N Blok-5.Kategori,650.0,114
126679|||I Blok-6.Kategori,550.0,0
126679|||N Blok-6.Kategori,550.0,0
126839|||E Blok-VIP,1950.0,105
126839|||D Blok-VIP,1950.0,85
126839|||G Blok-1.Kategori ,1250.0,116
126839|||F Blok-1.Kategori,1250.0,105
126839|||B Blok-1.Kategori,1250.0,127
126839|||C Blok-1.Kategori,1250.0,103
126839|||H Blok-2.Kategori,900.0,119
126839|||L Blok-2.Kategori,900.0,136
126839|||M Blok-2.Kategori,900.0,185
126839|||N Blok-2.Kategori,900.0,151
126839|||A Blok-2.Kategori,900.0,79
126839|||Sahne Gençliğin Kampanyası - D Blok VIP  - Bir Alana Bir Bedava Bilet,1950.0,0
126841|||Ayakta Genel Giriş (I-K-J-O-P Blok),660.0,248
139202|||1.Avantajlı Dönem Bileti,770.0,270
127146|||VIP - D Blok,1950.0,132
127146|||1. Kategori - C Blok,950.0,316
127146|||1. Kategori - E Blok,950.0,318
127146|||2. Kategori - M Blok,850.0,199
127146|||2. Kategori - L Blok,850.0,200
127146|||1. Kategori - B Blok,950.0,385
127146|||1. Kategori - L Blok,950.0,150
127146|||1. Kategori - M Blok,950.0,150
127146|||1. Kategori - F Blok,950.0,382
127146|||2. Kategori - A Blok,850.0,375
127146|||2. Kategori - G Blok,850.0,385
127146|||2. Kategori - K Blok,850.0,322
127146|||2. Kategori - J Blok,850.0,150
127146|||2. Kategori - O Blok,850.0,150
127146|||2. Kategori - N Blok,850.0,299
127146|||3. Kategori - J Blok,650.0,194
127146|||3. Kategori - İ Blok,650.0,350
127146|||3. Kategori - H Blok,650.0,350
127146|||3. Kategori - P Blok,650.0,350
127146|||3. Kategori - R Blok,650.0,350
127146|||3. Kategori - O Blok,650.0,200
127146|||Sahne Gençliğin Kampanyası - VIP D Blok - Bir Alana Bir Bedava Bilet,1950.0,0
126482|||1. Avantajlı Dönem - Genel Giriş Bileti,600.0,893
137329|||1. Avantajlı Dönem - VIP,799.0,0
137329|||1.Avantajlı Dönem - Genel Giriş  ,599.0,56
137329|||2. Avantajlı Dönem - VIP,899.0,49
138249|||1. Kategori - B Tek Blok,1725.0,113
138249|||1. Kategori - B Çift Blok,1725.0,147
138249|||1. Kategori - A Tek Blok,1725.0,80
138249|||1. Kategori - A Çift Blok,1725.0,80
138249|||2. Kategori - A Tek Blok,1437.5,180
138249|||2. Kategori - A Çift Blok,1437.5,221
138249|||3. Kategori - D Çift Blok,1150.0,273
138249|||3. Kategori - D Tek Blok,1150.0,245
138249|||4. Kategori - C Tek Blok,1035.0,237
138249|||4. Kategori - C Çift Blok,1035.0,230
138249|||5. Kategori - C Çift Blok,862.5,86
138249|||5. Kategori - C Tek Blok,862.5,91
138249|||6. Kategori - C Çift Blok,690.0,68
138249|||6. Kategori - C Tek Blok,690.0,67
138249|||1. Kategori - B Tek Blok - Çift Kişilik Bilet,2999.0,50
138249|||2. Kategori - A Tek Blok - Çift Kişilik Bilet,2399.0,42
138249|||3. Kategori - D Tek Blok - Çift Kişilik Bilet,1999.0,50
138257|||1. Avantajlı Dönem - Sahne Önü Ayakta,1437.5,244
130892|||Genel Giriş Bileti ,500.0,472
130892|||Genel Giriş - Çift Kişilik Bilet ,750.0,98
130892|||Genel Giriş - İndirimli Bilet,300.0,0
134787|||Genel Giriş Bileti,550.0,158
135939|||A1 Blok,1100.0,6
135939|||A2 Blok,1100.0,3
135939|||B Blok,900.0,2
135939|||C Blok,1000.0,6
135939|||D Blok,1000.0,3
135939|||E Blok,1000.0,10
135939|||F Blok,900.0,3
135939|||A1 Blok-Bir Alana Bir Bedava Bilet,1100.0,50
135939|||A2 Blok-Bir Alana Bir Bedava Bilet,1100.0,32
135939|||A3 Blok-Bir Alana Bir Bedava Bilet,1100.0,55
135939|||B Blok-Bir Alana Bir Bedava Bilet,900.0,62
135939|||C Blok-Bir Alana Bir Bedava Bilet,1000.0,152
135939|||D Blok-Bir Alana Bir Bedava Bilet,1000.0,0
135939|||E Blok-Bir Alana Bir Bedava Bilet,1000.0,134
135939|||F Blok-Bir Alana Bir Bedava Bilet,900.0,96
