promoter,event_title,event_date,venue_name,timestamp
Selectist,SELECTIST MEMBERSHIP,2025-02-28T21:00:00.000Z,Frankhan İstanbul,2025-02-28T21:00:00.000Z
TECHNO TURKEY,Emmanuel Jal at 16 Roof,2025-06-28T16:00:00.000Z,16 ROOF,2025-06-28T16:00:00.000Z
Post Attack,Post Attack x Kalt Pres: KOBOSIL,2025-06-27T19:00:00.000Z,Kalt Izmir,2025-06-27T19:00:00.000Z
Effekt,Effekt | On the Roof: Raffa Guido,2025-06-21T14:00:00.000Z,İzmir Marriott Hotel,2025-06-21T14:00:00.000Z
Ravin Group,Sirius x RAVIN SHOWCASE,2025-06-14T19:00:00.000Z,Kastel,2025-06-14T19:00:00.000Z
Houseyounite ,Kastel | RBØR,2025-05-23T19:00:00.000Z,Kastel,2025-05-23T19:00:00.000Z
Flexanima,Charlotte de Witte | KüçükÇiftlik Park,2025-08-23T14:00:00.000Z,KüçükÇiftlik Park,2025-08-23T14:00:00.000Z
Flexanima, MASSANO - Maximum Uniq Açıkhava,2025-05-24T14:00:00.000Z,Maximum Uniq Açıkhava,2025-05-24T14:00:00.000Z
Razzle Dazzle,Maddix | Zorlu PSM Turkcell Sahnesi,2025-10-04T18:00:00.000Z,Zorlu PSM Turkcell Sahnesi,2025-10-04T18:00:00.000Z
Razzle Dazzle,Rise x Bassphouros Yacht Party,2025-05-31T15:00:00.000Z,Kireçburnu Petrol Ofisi,2025-05-31T15:00:00.000Z
KLEIN Entertainment,KAS:ST | Klein Phönix,2025-09-20T18:00:00.000Z,Klein Phönix,2025-09-20T18:00:00.000Z
KLEIN Entertainment,Eli & Fur + Bussi + Ozarc | Klein Phönix // Focus & Rezonate,2025-09-06T18:00:00.000Z,Klein Phönix,2025-09-06T18:00:00.000Z
KLEIN Entertainment,Bob Moses (Club Set) | Klein Phönix,2025-08-01T18:00:00.000Z,Klein Phönix,2025-08-01T18:00:00.000Z
KLEIN Entertainment,Polo & Pan | Klein Phönix,2025-06-21T18:00:00.000Z,Klein Phönix,2025-06-21T18:00:00.000Z
KLEIN Entertainment,Denis Horvat + Betical + Black Batu | Klein Phönix // Alive Projects,2025-06-14T18:00:00.000Z,Klein Phönix,2025-06-14T18:00:00.000Z
KLEIN Entertainment,After The Show - Mahmut Orhan + People Like Us | Klein Phönix,2025-06-07T18:00:00.000Z,Klein Phönix,2025-06-07T18:00:00.000Z
KLEIN Entertainment,Sasha & John Digweed + Fuchs + Yunus Guvenen + Baris Turker | Klein Phönix ,2025-06-06T18:00:00.000Z,Klein Phönix,2025-06-06T18:00:00.000Z
KLEIN Entertainment,Sueños de Esperanza Presents: Tayllor + Manthem + Taner Erden + Velvet Mode,2025-06-04T18:00:00.000Z,Klein Garten,2025-06-04T18:00:00.000Z
KLEIN Entertainment,Adam Sellouk B2B Glowal + Hemi + Krey | Klein Phönix // Breathe,2025-05-31T18:00:00.000Z,Klein Phönix,2025-05-31T18:00:00.000Z
KLEIN Entertainment,Korolova | Klein Phönix // Future Forward Media ,2025-05-30T18:00:00.000Z,Klein Phönix,2025-05-30T18:00:00.000Z
KLEIN Entertainment,Enoo Napa b2b Da Capo + Manthem + Soñadora + Gwen De Lien | Klein Phönix // Sueños de Esperanza,2025-05-24T18:00:00.000Z,Klein Phönix,2025-05-24T18:00:00.000Z
KLEIN Entertainment,Meltem Hayırlı | Klein Harbiye,2025-05-23T20:00:00.000Z,Klein Harbiye,2025-05-23T20:00:00.000Z
KLEIN Entertainment,Avangart Tabldot (All Night Long) | Klein Phönix,2025-05-23T18:00:00.000Z,Klein Phönix,2025-05-23T18:00:00.000Z
RX Istanbul,RX Presents: I Hate Models (Extended Set),2025-07-14T17:00:00.000Z,Klein Phönix,2025-07-14T17:00:00.000Z
RX Istanbul,RX Presents: Charlie Sparks (4HR Extended Set),2025-06-13T19:00:00.000Z,42 VENUE,2025-06-13T19:00:00.000Z
Label Project,Keinemusik | Atina,2025-06-20T13:00:00.000Z,Check The Location,2025-06-20T13:00:00.000Z
Label Project,Label Project Presents: Aaron Hibell I Zorlu PSM %100 Studio,2025-05-30T18:00:00.000Z,Zorlu PSM ( %100 Studio ),2025-05-30T18:00:00.000Z
Jeton Records,LINEAR by Klangkuenstler presented by Jeton,2025-07-26T18:00:00.000Z,Volkswagen Arena,2025-07-26T18:00:00.000Z
Isolate,X by ADRIATIQUE | Ataköy Marina Arena,2025-09-06T13:00:00.000Z,Ataköy Marina Açık Hava,2025-09-06T13:00:00.000Z
Beatgate,Nebrolith Cappadocia,2025-07-18T12:00:00.000Z,Perili Ozanlar Vadisi,2025-07-18T12:00:00.000Z
Future Generation,Chill-Out Festival Istanbul 2025 ,2025-10-11T09:00:00.000Z,Swissôtel The Bosphorus Istanbul,2025-10-11T09:00:00.000Z
Future Generation,The Groove Festival,2025-08-03T12:00:00.000Z,Swissôtel The Bosphorus Istanbul,2025-08-03T12:00:00.000Z
Future Generation,Electronica Editions IST-25,2025-07-26T16:00:00.000Z,Klein Phönix,2025-07-26T16:00:00.000Z
Generic Music,Soundscape Festival | Chapter V,2025-07-26T11:00:00.000Z,Life Park,2025-07-26T11:00:00.000Z
